Date,Close,High,Low,Open,Volume,50_DMA,200_DMA,EMA_50,RSI,VWMA_50,Buy_Signal,Sell_Signal,Hold_Signal,Signal
2015-03-04,700.8840942382812,724.4912521722067,695.9390401593486,713.6816588024618,8026142,675.10712890625,674.2118630981445,700.8840942382812,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-05,701.878173828125,706.7238542634758,696.7839969601921,697.7779826905204,2860518,675.10712890625,674.2118630981445,700.9230777516084,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-09,678.1964721679688,698.2501227498517,675.2642020412571,698.2501227498517,1453044,675.10712890625,674.2118630981445,700.0318383169558,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-10,669.8469848632812,681.7250653971167,655.533566572335,679.8116550657551,1457326,675.10712890625,674.2118630981445,698.8481185736745,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-11,683.8125,688.2854358171361,665.8213217568969,667.46142249041,1083842,675.10712890625,674.2118630981445,698.2584864727461,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-12,680.8802490234375,691.1431641806543,673.3507947199645,689.3291280259181,821594,675.10712890625,674.2118630981445,697.5769869649301,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-13,666.5916748046875,690.8200767780172,663.6842787015026,690.8200767780172,766498,675.10712890625,674.2118630981445,696.3618766841363,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-16,653.5206909179688,667.8092346356572,648.0537698433749,664.4794069756323,1653222,675.10712890625,674.2118630981445,694.6818301835023,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-17,665.7965087890625,669.3748331770181,652.6013238558361,658.5155511278826,873056,675.10712890625,674.2118630981445,693.5490724817595,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-18,667.41162109375,670.1947685477288,658.0930064031531,665.8212077857162,1164130,675.10712890625,674.2118630981445,692.524074388112,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-19,658.8633422851562,677.2769501163614,654.2164716570101,670.9402918048709,1522830,675.10712890625,674.2118630981445,691.2040456781922,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-20,665.8212890625,667.9583825596443,649.5696473254874,656.5275471438171,1589774,675.10712890625,674.2118630981445,690.2086434579691,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-23,663.9078979492188,668.0577761844266,659.2610268554693,666.7159197335936,935200,675.10712890625,674.2118630981445,689.1772416733122,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-24,666.3431396484375,676.9042373307267,659.0621825244452,659.0621825244452,648632,675.10712890625,674.2118630981445,688.2817866919446,34.44498867290166,680.3514707867317,False,False,False,HOLD
2015-03-25,659.2858276367188,667.2128385839532,655.0613888076956,665.026058115316,737574,675.10712890625,674.2118630981445,687.1446902584063,32.38640710057703,680.3514707867317,False,False,False,HOLD
2015-03-26,648.7744140625,665.3987989760005,646.0906408055406,653.3964107074228,3992738,675.10712890625,674.2118630981445,685.6399735448413,29.191810386062116,680.3514707867317,False,False,False,HOLD
2015-03-27,645.6682739257812,658.0185341283368,634.0137551795378,656.0305627261364,977138,675.10712890625,674.2118630981445,684.0724559127212,34.80380807259381,680.3514707867317,False,False,False,HOLD
2015-03-30,651.9800415039062,655.8069227521086,641.4935047700801,646.7864906211464,1703312,675.10712890625,674.2118630981445,682.8139298574736,41.491100786442125,680.3514707867317,False,False,False,HOLD
2015-03-31,652.6759033203125,658.3664475609955,646.2149958440787,653.5207669538202,764502,675.10712890625,674.2118630981445,681.6320464638594,33.02629460013762,680.3514707867317,False,False,False,HOLD
